CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Avg_Monthly_Spend
C00001,6,64,1540,One year,Credit Card,No,1,0,220.0
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,79.68181818181819
C00003,27,31,1455,Two year,Credit Card,No,1,0,51.964285714285715
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,132.40740740740742
C00005,16,185,1023,One year,Electronic Check,No,1,0,60.1764705882353
C00006,55,44,7538,Two year,Electronic Check,No,0,0,134.60714285714286
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,62.35820895522388
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,49.806451612903224
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,122.66153846153846
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,389.6
C00011,59,57,5168,One year,Credit Card,Yes,0,0,86.13333333333334
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,910.25
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,63.666666666666664
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,688.2222222222222
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,14.222222222222221
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,61.68181818181818
C00017,19,187,4874,Two year,Credit Card,No,0,0,243.7
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,86.88372093023256
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,673.625
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,254.37037037037038
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,25.641025641025642
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,186.73076923076923
C00023,60,40,1755,One year,Credit Card,No,1,0,28.770491803278688
C00024,30,100,3710,Two year,Credit Card,No,1,0,119.6774193548387
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,290.96153846153845
C00026,47,181,3295,One year,Credit Card,No,1,0,68.64583333333333
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,61.32786885245902
C00028,20,56,3950,One year,Bank Transfer,No,1,0,188.0952380952381
C00029,36,175,3682,One year,Bank Transfer,No,0,0,99.51351351351352
C00030,34,190,7540,One year,Bank Transfer,No,1,0,215.42857142857142
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,160.10344827586206
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,438.6363636363636
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,162.02272727272728
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,216.33333333333334
C00035,60,44,1302,One year,Credit Card,No,1,0,21.34426229508197
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,13.529411764705882
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,24.92105263157895
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,98.80952380952381
C00039,50,84,858,Month-to-month,Credit Card,No,0,0,16.823529411764707
C00040,26,151,1952,Two year,Electronic Check,No,0,0,72.29629629629629
C00041,42,20,1950,Two year,Credit Card,Yes,1,0,45.348837209302324
C00042,7,148,2701,Two year,Credit Card,Yes,0,0,337.625
C00043,63,89,6547,One year,Electronic Check,Yes,0,0,102.296875
C00044,42,123,3913,Month-to-month,Credit Card,No,1,0,91.0
C00045,34,93,3344,Two year,Credit Card,Yes,0,0,95.54285714285714
C00046,32,170,4773,Two year,Credit Card,No,1,0,144.63636363636363
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,0,328.4782608695652
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,0,98.28947368421052
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,0,59.228070175438596
C00050,49,121,5161,One year,Bank Transfer,Yes,0,0,103.22
C00051,71,172,416,Month-to-month,Electronic Check,No,1,0,5.777777777777778
C00052,31,154,7537,Two year,Credit Card,Yes,1,0,235.53125
C00053,53,48,1497,One year,Credit Card,No,0,0,27.72222222222222
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,0,52.3
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1,702.2
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,0,142.22916666666666
C00057,58,121,3537,One year,Credit Card,No,1,0,59.94915254237288
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,0,117.55
C00059,36,38,3792,One year,Bank Transfer,Yes,1,0,102.48648648648648
C00060,26,182,7074,Month-to-month,Credit Card,No,0,0,262.0
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,0,233.66666666666666
C00062,10,195,4284,Two year,Electronic Check,No,0,1,389.45454545454544
C00063,53,128,5803,One year,Bank Transfer,No,0,0,107.46296296296296
C00064,25,176,4496,One year,Bank Transfer,No,1,0,172.92307692307693
C00065,65,180,4142,One year,Credit Card,Yes,0,0,62.75757575757576
C00066,3,140,2541,One year,Electronic Check,No,1,0,635.25
C00067,53,61,3631,One year,Bank Transfer,No,0,0,67.24074074074075
C00068,62,62,3016,Two year,Credit Card,Yes,0,0,47.87301587301587
C00069,2,102,1333,Two year,Credit Card,Yes,0,1,444.3333333333333
C00070,53,21,6828,One year,Credit Card,No,0,0,126.44444444444444
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,0,20.257142857142856
C00072,68,153,1930,One year,Electronic Check,Yes,0,0,27.971014492753625
C00073,13,125,3696,Two year,Credit Card,No,1,0,264.0
C00074,2,152,2038,Month-to-month,Bank Transfer,No,0,1,679.3333333333334
C00075,70,77,7593,Two year,Electronic Check,Yes,0,0,106.94366197183099
C00076,35,170,936,One year,Bank Transfer,Yes,0,0,26.0
C00077,4,43,7302,Month-to-month,Credit Card,Yes,0,1,1460.4
C00078,41,109,7937,Two year,Bank Transfer,Yes,1,0,188.97619047619048
C00079,8,95,3792,One year,Bank Transfer,Yes,1,0,421.3333333333333
C00080,47,138,6406,Two year,Credit Card,Yes,0,0,133.45833333333334
C00081,35,139,5211,Two year,Bank Transfer,No,0,0,144.75
C00082,30,162,3917,One year,Credit Card,No,0,0,126.35483870967742
C00083,27,142,1908,Two year,Bank Transfer,No,1,0,68.14285714285714
C00084,50,141,4412,Month-to-month,Credit Card,No,0,0,86.50980392156863
C00085,51,136,4725,Two year,Bank Transfer,Yes,1,0,90.86538461538461
C00086,63,29,7685,Two year,Credit Card,Yes,1,0,120.078125
C00087,43,103,2856,One year,Electronic Check,No,1,0,64.9090909090909
C00088,40,108,2650,One year,Electronic Check,No,1,0,64.63414634146342
C00089,41,177,4075,One year,Bank Transfer,Yes,0,0,97.02380952380952
C00090,21,126,7735,One year,Credit Card,Yes,0,0,351.59090909090907
C00091,3,188,2422,Two year,Credit Card,No,1,0,605.5
C00092,42,122,1294,Two year,Bank Transfer,No,0,0,30.093023255813954
