Tenure,MonthlyCharges,TotalCharges,PaperlessBilling,SeniorCitizen,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit Card,PaymentMethod_Electronic Check
6,64,1540,0,1,0,1,0,1,0
21,113,1753,1,1,0,0,0,0,1
27,31,1455,0,1,0,0,1,1,0
53,29,7150,0,1,0,0,0,0,1
16,185,1023,0,1,0,1,0,0,1
55,44,7538,0,0,0,0,1,0,1
66,99,4178,0,1,0,0,1,0,0
61,128,3088,0,1,0,0,0,0,0
64,124,7973,0,1,0,0,0,1,0
14,120,5844,1,1,0,1,0,0,0
59,57,5168,1,0,0,1,0,1,0
7,110,7282,0,1,1,0,0,0,1
53,86,3438,1,1,0,0,0,0,0
8,158,6194,0,1,1,0,0,1,0
53,58,768,1,1,0,0,0,1,0
65,77,4071,1,1,0,0,0,1,0
19,187,4874,0,0,0,0,1,1,0
42,101,3736,1,0,0,1,0,0,0
7,156,5389,1,0,1,1,0,0,0
26,105,6868,1,1,0,0,0,0,0
38,137,1000,0,1,0,0,0,0,1
25,120,4855,1,0,0,0,1,1,0
60,40,1755,0,1,0,1,0,1,0
30,100,3710,0,1,0,0,1,1,0
25,193,7565,0,0,0,0,0,0,0
47,181,3295,0,1,0,1,0,1,0
60,101,3741,0,1,0,0,0,0,0
20,56,3950,0,1,0,1,0,0,0
36,175,3682,0,0,0,1,0,0,0
34,190,7540,0,1,0,1,0,0,0
28,101,4643,1,1,0,1,0,0,1
10,196,4825,1,0,1,0,0,1,0
43,182,7129,1,0,0,1,0,0,1
32,195,7139,1,1,0,1,0,0,0
60,44,1302,0,1,0,1,0,1,0
50,116,690,0,1,0,0,0,1,0
37,42,947,0,0,0,0,0,0,1
62,166,6225,1,1,0,0,1,0,1
50,84,858,0,0,0,0,0,1,0
26,151,1952,0,0,0,0,1,0,1
42,20,1950,1,1,0,0,1,1,0
7,148,2701,1,0,0,0,1,1,0
63,89,6547,1,0,0,1,0,0,1
42,123,3913,0,1,0,0,0,1,0
34,93,3344,1,0,0,0,1,1,0
32,170,4773,0,1,0,0,1,1,0
22,46,7555,0,1,0,0,0,0,0
37,162,3735,1,1,0,0,0,0,1
56,49,3376,0,0,0,0,0,0,0
49,121,5161,1,0,0,1,0,0,0
71,172,416,0,1,0,0,0,0,1
31,154,7537,1,1,0,0,1,1,0
53,48,1497,0,0,0,1,0,1,0
49,68,2615,1,1,0,0,0,0,0
9,157,7022,0,0,1,0,0,0,0
47,54,6827,1,0,0,0,1,0,0
58,121,3537,0,1,0,1,0,1,0
59,72,7053,1,0,0,0,0,0,0
36,38,3792,1,1,0,1,0,0,0
26,182,7074,0,0,0,0,0,1,0
23,187,5608,0,1,0,0,0,0,1
10,195,4284,0,0,1,0,1,0,1
53,128,5803,0,0,0,1,0,0,0
25,176,4496,0,1,0,1,0,0,0
65,180,4142,1,0,0,1,0,1,0
3,140,2541,0,1,0,1,0,0,1
53,61,3631,0,0,0,1,0,0,0
62,62,3016,1,0,0,0,1,1,0
2,102,1333,1,0,1,0,1,1,0
53,21,6828,0,0,0,1,0,1,0
69,153,1418,0,0,0,0,0,0,1
68,153,1930,1,0,0,1,0,0,1
13,125,3696,0,1,0,0,1,1,0
2,152,2038,0,0,1,0,0,0,0
70,77,7593,1,0,0,0,1,0,1
35,170,936,1,0,0,1,0,0,0
4,43,7302,1,0,1,0,0,1,0
41,109,7937,1,1,0,0,1,0,0
8,95,3792,1,1,0,1,0,0,0
47,138,6406,1,0,0,0,1,1,0
35,139,5211,0,0,0,0,1,0,0
30,162,3917,0,0,0,1,0,1,0
27,142,1908,0,1,0,0,1,0,0
50,141,4412,0,0,0,0,0,1,0
51,136,4725,1,1,0,0,1,0,0
63,29,7685,1,1,0,0,1,1,0
43,103,2856,0,1,0,1,0,0,1
40,108,2650,0,1,0,1,0,0,1
41,177,4075,1,0,0,1,0,0,0
21,126,7735,1,0,0,1,0,1,0
3,188,2422,0,1,0,0,1,1,0
42,122,1294,0,0,0,0,1,0,0
18,29,7469,1,0,0,0,0,0,1
55,193,4344,0,1,0,0,1,0,0
21,140,3171,0,1,0,1,0,0,1
20,150,1780,1,0,0,0,0,0,1
15,40,510,0,0,0,0,0,0,0
42,172,1168,0,1,0,0,0,0,0
10,143,3353,0,1,1,0,1,0,1
39,84,7566,0,1,0,1,0,0,1
66,170,1059,0,1,0,0,0,0,1
50,130,1087,1,1,0,1,0,0,1
44,78,6369,1,1,0,1,0,0,0
7,39,6651,1,1,0,1,0,0,1
3,115,5547,0,0,1,0,1,0,0
21,75,7026,1,1,0,0,1,0,0
3,59,7111,1,1,1,0,0,1,0
18,56,7925,0,0,0,1,0,0,1
48,152,4042,1,1,0,1,0,0,1
32,24,2939,1,1,0,0,1,0,1
41,88,3461,1,1,0,1,0,0,0
55,87,3353,0,1,0,0,1,1,0
15,102,1746,0,1,0,0,0,1,0
31,111,2539,0,0,0,0,0,1,0
33,160,2315,0,0,0,1,0,0,0
70,164,5320,0,0,0,1,0,1,0
14,187,2225,1,0,0,0,1,0,1
35,98,4023,1,0,0,0,1,0,0
56,83,562,1,0,0,0,0,0,0
62,75,2451,0,0,0,1,0,1,0
30,107,6906,1,1,0,1,0,1,0
15,147,2687,0,0,0,1,0,0,1
41,114,2419,0,1,0,0,1,0,0
27,50,2751,1,1,0,0,1,0,1
4,177,950,1,0,1,0,0,1,0
62,183,7208,1,1,0,0,1,0,1
31,62,5887,0,1,0,1,0,0,0
13,137,7128,1,0,0,1,0,0,0
20,179,2692,1,1,0,0,0,0,0
8,174,3979,1,0,1,0,1,1,0
2,125,7858,0,1,1,0,0,0,1
3,79,891,0,1,1,0,0,1,0
48,92,5908,1,0,0,0,1,0,0
15,28,6569,0,1,0,0,0,1,0
64,101,5706,1,1,0,0,0,0,0
52,152,4318,1,0,0,0,1,0,0
10,134,4476,0,0,1,0,0,0,1
30,188,4095,1,0,0,0,1,0,1
27,67,3567,1,1,0,0,0,1,0
2,184,5021,1,1,1,1,0,0,1
46,112,6817,0,0,0,0,1,0,1
11,115,1713,1,1,1,0,1,0,0
64,167,3677,0,0,0,0,0,0,0
65,47,5540,1,1,0,1,0,0,0
21,173,7651,1,0,0,0,1,0,0
29,42,2058,0,1,0,1,0,1,0
6,133,7448,0,0,1,1,0,1,0
34,24,2004,1,1,0,0,1,0,0
20,114,1250,1,0,0,1,0,0,0
42,132,3139,0,0,0,0,0,0,1
5,105,5965,0,0,1,1,0,1,0
45,139,7654,0,1,0,0,0,1,0
21,156,6366,0,0,0,0,1,0,1
37,158,3355,0,0,0,0,1,0,1
68,40,5920,1,1,0,0,0,0,0
26,148,4601,1,0,0,1,0,0,0
26,78,5632,1,1,0,0,1,0,1
1,86,7217,1,0,0,0,1,0,0
47,182,3250,0,1,0,1,0,0,1
30,154,4096,1,0,0,1,0,0,0
51,78,984,1,1,0,0,0,0,1
13,90,347,1,0,0,1,0,0,1
64,185,3916,1,1,0,1,0,1,0
60,171,220,0,1,0,0,0,1,0
69,48,3419,1,1,0,1,0,0,0
40,105,791,1,0,0,1,0,1,0
23,110,6723,1,1,0,0,1,0,0
42,80,5832,0,1,0,1,0,0,1
13,99,2938,0,0,0,0,0,1,0
24,84,6882,1,0,0,1,0,1,0
22,61,5363,1,1,0,0,1,0,0
10,115,3717,1,0,1,1,0,0,1
62,160,1811,1,1,0,0,0,1,0
5,145,1090,0,1,1,0,0,1,0
20,76,6396,1,1,0,0,1,1,0
68,67,1797,0,1,0,0,1,0,1
42,50,279,0,0,0,1,0,0,1
3,180,3232,0,0,0,1,0,0,0
68,193,3285,0,0,0,1,0,1,0
52,39,3233,1,1,0,0,1,1,0
4,135,4742,0,1,1,0,0,1,0
13,64,4297,1,1,0,0,0,0,0
56,151,735,1,1,0,0,1,1,0
61,29,2290,1,0,0,1,0,1,0
47,130,2289,1,0,0,0,0,0,0
59,93,7342,0,0,0,0,0,0,0
47,199,6905,1,1,0,0,1,0,1
49,163,3776,0,0,0,1,0,0,0
31,100,4971,1,0,0,1,0,0,1
52,185,7330,1,0,0,0,1,1,0
46,51,466,1,0,0,1,0,0,0
43,31,7992,0,0,0,0,0,1,0
65,158,3712,0,0,0,1,0,1,0
71,138,6231,0,0,0,0,0,0,1
27,121,4317,0,0,0,1,0,0,0
30,133,3029,1,1,0,0,0,1,0
37,152,2750,0,0,0,1,0,1,0
37,34,6987,0,1,0,0,0,0,1
3,63,1535,0,0,0,0,1,0,1
42,143,7310,1,0,0,1,0,0,1
50,170,3185,0,0,0,0,1,0,1
50,169,159,0,0,0,1,0,0,0
29,189,5035,1,1,0,1,0,1,0
15,55,5421,0,0,0,0,1,1,0
69,40,3396,1,0,0,0,0,1,0
69,94,5765,1,0,0,0,0,0,1
57,32,4351,0,0,0,1,0,0,0
